NAME,control1,control2,control3,control4,control5,control6,control7,control8,control9,treated1,treated2,treated3,treated4,treated5,treated6,treated7,treated8,treated9,treated10,treated11,treated12,treated13,treated14,treated15,treated16,treated17,treated18
ENSG00000223764,0,0,0,80,0,0,0,0,0,6,0,4,305,0,0,0,0,17,0,0,0,0,0,0,3,0,0
ENSG00000272438,0,0,0,8,0,0,0,0,0,0,0,0,66,0,0,0,0,2,0,0,0,0,0,0,5,0,0
ENSG00000241180,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000230699,81,0,0,67,0,0,29,0,0,24,17,75,302,0,99,77,3,6,135,0,38,0,36,0,21,0,0
ENSG00000288531,8,0,16,15,2,0,0,0,1,18,5,2,2,0,0,2,2,6,0,0,4,0,7,3,0,0,0
ENSG00000230368,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,2,2,0,0,0,0,0,0,0,0
ENSG00000234711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283040,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187961,204,115,38,1310,0,6,47,17,52,65,34,138,774,41,386,157,205,168,325,83,94,28,143,33,425,70,27
ENSG00000188290,139,79,151,21948,5,9,36,85,36,23,27,29,1865,137,333,19,234,13204,46,13,11,17,254,9,12328,40,153
ENSG00000187583,28,18,0,34,2,0,16,0,5,28,8,14,55,14,13,6,33,0,48,20,19,0,29,0,12,11,20
ENSG00000187642,0,0,0,7,0,0,0,6,0,0,0,0,23,0,0,0,0,15,0,0,0,0,0,0,5,0,0
ENSG00000187634,4,0,0,5,0,0,0,0,3,0,0,2,54,0,0,0,0,0,0,0,0,0,4,0,0,0,0
ENSG00000188976,1550,655,506,3429,20,206,822,169,2170,1192,475,1010,3657,374,1609,471,659,4798,732,705,340,538,536,1388,3314,630,549
ENSG00000291156,4,3,0,82,0,0,0,2,26,2,2,6,118,2,12,4,22,6,15,2,0,0,0,14,3,0,0
ENSG00000273443,4,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217801,4,1,0,89,0,0,0,0,2,0,0,2,46,2,10,0,6,7,7,3,0,0,2,6,0,4,0
ENSG00000187608,13790,2367,24360,1136,5273,1110,852,2776,1415,960,3096,1096,2073,13238,2933,501,12113,1575,942,859,326,476,9940,1394,4227,1093,16320
ENSG00000231702,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
