,control1,control2,control3,control4,control5,control6,control7,control8,control9,treated1,treated2,treated3,treated4,treated5,treated6,treated7,treated8,treated9,treated10,treated11,treated12,treated13,treated14,treated15,treated16,treated17,treated18
ENSG00000223764,0,0,0,80,0,0,0,0,0,6,0,4,305,0,0,0,0,17,0,0,0,0,0,0,3,0,0
ENSG00000272438,0,0,0,8,0,0,0,0,0,0,0,0,66,0,0,0,0,2,0,0,0,0,0,0,5,0,0
ENSG00000241180,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000230699,81,0,0,67,0,0,29,0,0,24,17,75,302,0,99,77,3,6,135,0,38,0,36,0,21,0,0
ENSG00000288531,8,0,16,15,2,0,0,0,1,18,5,2,2,0,0,2,2,6,0,0,4,0,7,3,0,0,0
ENSG00000230368,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,2,2,0,0,0,0,0,0,0,0
ENSG00000234711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283040,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187961,204,115,38,1310,0,6,47,17,52,65,34,138,774,41,386,157,205,168,325,83,94,28,143,33,425,70,27
ENSG00000188290,139,79,151,21948,5,9,36,85,36,23,27,29,1865,137,333,19,234,13204,46,13,11,17,254,9,12328,40,153
ENSG00000187583,28,18,0,34,2,0,16,0,5,28,8,14,55,14,13,6,33,0,48,20,19,0,29,0,12,11,20
ENSG00000187642,0,0,0,7,0,0,0,6,0,0,0,0,23,0,0,0,0,15,0,0,0,0,0,0,5,0,0
ENSG00000187634,4,0,0,5,0,0,0,0,3,0,0,2,54,0,0,0,0,0,0,0,0,0,4,0,0,0,0
ENSG00000188976,1550,655,506,3429,20,206,822,169,2170,1192,475,1010,3657,374,1609,471,659,4798,732,705,340,538,536,1388,3314,630,549
ENSG00000291156,4,3,0,82,0,0,0,2,26,2,2,6,118,2,12,4,22,6,15,2,0,0,0,14,3,0,0
ENSG00000273443,4,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217801,4,1,0,89,0,0,0,0,2,0,0,2,46,2,10,0,6,7,7,3,0,0,2,6,0,4,0
ENSG00000187608,13790,2367,24360,1136,5273,1110,852,2776,1415,960,3096,1096,2073,13238,2933,501,12113,1575,942,859,326,476,9940,1394,4227,1093,16320
ENSG00000231702,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ENSG00000224969,0,0,0,75,0,0,0,0,0,0,0,0,8,0,6,0,0,6,0,0,0,0,0,0,4,0,0
ENSG00000188157,427,64,292,282,18,37,48,24,2337,96,63,109,1415,396,319,50,201,135,258,80,53,50,448,142,292,118,338
ENSG00000242590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205231,2,0,0,81,0,0,0,0,0,0,0,0,63,0,0,0,0,8,0,0,3,0,0,0,0,4,0
ENSG00000162571,3,0,0,151,0,0,13,0,4,2,0,0,202,0,6,0,0,80,0,11,6,0,0,4,8,10,2
ENSG00000186891,97,34,63,35,0,0,53,34,95,50,36,61,921,19,243,7,291,36,62,51,70,73,28,73,84,60,16
ENSG00000186827,109,45,36,1820,0,8,78,27,47,35,17,74,2557,22,333,31,295,763,61,31,35,32,35,162,578,64,27
ENSG00000131591,174,73,41,785,0,12,54,13,154,86,52,116,598,42,254,65,185,411,209,82,48,45,94,92,593,43,73
ENSG00000285812,3,0,0,13,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,3,0
ENSG00000078808,4005,1316,1491,4458,35,555,1694,683,4950,2927,1857,3464,4174,1115,4528,1652,2595,4176,1234,1937,1812,1499,1524,2679,4731,1433,1378
ENSG00000176022,598,205,384,1959,0,72,341,95,1247,548,287,535,1624,136,775,270,324,3555,189,378,224,325,241,572,2232,325,269
